"Samples","Tallo.LCH.L","Tallo.LCH.C","Tallo.LCH.H","PriFlor.LCH.L","PriFlor.LCH.C","PriFlor.LCH.H"
15061577,54,44,117,43,58,322
15061933,54,44,117,49,42,312
15061303,54,44,117,57,46,323
15062145,28,16,359,43,58,322
15061918,54,44,117,45,57,327
15061966,28,16,359,43,58,312
15061542,54,44,117,57,46,323
15061937,54,44,117,36,39,321
15062361,54,44,117,43,58,322
15061665,54,44,117,43,58,322
15061790,54,44,117,57,46,323
15061906,28,16,359,52,45,305
15060570,54,44,117,42,39,319
15061676,54,44,117,41,42,316
15061490,28,16,359,43,58,322
15060025,54,44,117,52,45,305
15061720,42,17,138,41,42,316
15060039,54,44,117,36,55,329
15061965,54,44,117,92,6,71
15061271,54,44,117,43,58,312
15061944,54,44,117,49,57,317
15061586,54,44,117,67,36,319
15061917,54,44,117,43,58,322
15061704,54,44,117,61,37,293
15061679,28,16,359,36,55,329
15061560,54,44,117,61,43,319
15062151,54,44,117,43,58,312
15061349,54,44,117,61,43,319
15061430,54,44,117,41,60,332
15062331,54,44,117,45,57,327
15062046,54,44,117,45,57,327
15061706,54,44,117,92,6,71
15061613,54,44,117,54,49,320
15060082,54,44,117,36,39,321
15062353,54,44,117,45,57,327
15062147,54,44,117,33,34,316
15061756,49,21,132,58,45,310
15061667,28,16,359,58,45,310
15062052,54,44,117,36,55,329
15061798,54,44,117,52,45,305
15061762,28,16,359,26,52,310
15061496,28,16,359,33,58,312
15061524,28,16,359,61,43,319
15061907,66,48,118,89,8,95
15061538,28,16,359,42,39,319
15061437,54,44,117,36,39,321
15061677,54,38,132,52,55,328
15062369,28,16,359,43,58,312
15061583,54,44,117,59,48,315
15062142,54,44,117,43,58,322
15061526,28,16,359,49,42,312
15061530,54,44,117,36,39,321
15060042,28,16,359,45,57,327
15061439,54,44,117,36,39,321
15060543,54,44,117,57,46,323
15061954,54,44,117,54,49,320
15061960,53,38,132,52,45,305
15061651,58,45,128,43,58,322
15061501,28,16,359,43,58,322
15061588,42,17,138,42,39,319
15061288,54,44,117,48,40,314
15061421,54,44,117,65,35,303
15061462,54,44,117,43,40,309
15062119,28,16,359,43,58,312
15062334,54,44,117,43,58,322
15061423,54,44,117,54,49,320
15061333,54,44,117,52,45,305
15061348,54,44,117,43,58,322
15060910,28,16,359,36,55,329
15061522,28,16,359,43,58,322
15062360,54,44,117,65,35,303
15061488,28,16,359,43,58,322
15061721,54,24,136,45,57,327
15061627,54,44,117,66,36,309
15062335,54,44,117,39,57,339
15061565,42,17,138,54,49,320
15060138,28,16,359,36,39,321
15061766,54,44,117,33,58,312
15060090,54,44,117,41,60,332
15061631,28,16,359,43,58,322
15062080,54,44,117,43,58,322
15061811,54,44,117,43,58,312
15061948,54,44,117,61,43,319
15061329,28,16,359,36,39,321
15062363,54,44,117,36,55,329
15061647,54,44,117,52,45,305
15061352,54,44,117,36,55,329
15062339,54,44,117,36,55,329
15061516,28,16,359,41,60,332
15061475,54,44,117,70,31,304
15061528,49,21,132,43,58,322
15061927,28,16,359,63,31,315
15062098,54,44,117,54,49,320
15061668,54,44,117,49,57,317
15060021,28,16,359,37,43,331
15061367,54,44,117,54,49,320
15061731,28,16,359,54,49,320
15061514,54,44,117,66,36,309
15061364,54,44,117,43,58,322
15062347,54,44,117,52,45,305
15061314,54,44,117,57,46,323
15061763,28,16,359,59,48,315
15062358,28,16,359,43,58,322
15061469,54,44,117,49,57,317
15061370,54,44,117,36,55,329
15061494,28,16,359,43,58,322
15061785,54,44,117,66,36,309
15061604,54,44,117,49,42,312
15061912,54,44,117,57,46,323
15061776,54,44,117,52,45,305
15060112,54,44,117,41,58,318
15061299,53,38,132,61,43,319
