"Samples","Tallo.LCH.L","Tallo.LCH.C","Tallo.LCH.H","PriFlor.LCH.L","PriFlor.LCH.C","PriFlor.LCH.H"
15060027,28,16,359,36,39,321
15060050,54,44,117,54,49,320
15060056,54,44,117,89,8,95
15060063,28,16,359,36,55,329
15060070,28,16,359,36,55,329
15060072,54,44,117,49,57,317
15060081,54,44,117,52,45,305
15060085,54,44,117,33,58,312
15060087,28,16,359,41,60,332
15060097,54,44,117,58,45,310
15060101,54,44,117,89,8,95
15060102,54,44,117,89,8,95
15060110,28,16,359,36,55,329
15060114,54,44,117,48,40,314
15060120,28,16,359,57,46,323
15060121,54,44,117,52,45,305
15060122,54,44,117,66,36,324
15060160,54,44,117,36,39,321
15060187,28,16,359,39,57,339
15060188,54,44,117,45,57,327
15060190,54,44,117,36,39,321
15060191,54,44,117,36,55,329
15060214,54,44,117,36,39,321
15060215,54,44,117,45,57,327
15060313,54,44,117,36,55,329
15060320,54,44,117,45,57,327
15060345,54,44,117,48,41,320
15060383,54,44,117,61,43,319
15060420,54,44,117,57,46,323
15060536,54,44,117,67,36,319
15060797,54,44,117,36,39,321
15060846,54,44,117,56,48,332
15060907,28,16,359,43,58,322
15060909,54,44,117,61,43,319
15060933,54,44,117,43,58,312
15060964,54,44,117,36,39,321
15061007,54,44,117,43,58,322
15061011,54,44,117,43,58,312
15061122,54,44,117,41,60,332
15061204,54,44,117,53,43,320
15061213,54,44,117,36,55,329
15061215,54,44,117,43,58,322
15061216,54,44,117,89,8,95
15061225,54,44,117,36,55,329
15061226,54,44,117,41,42,316
15061228,28,16,359,43,58,312
15061237,54,44,117,54,39,313
15061256,54,44,117,36,55,329
15061257,28,16,359,41,42,316
15061258,28,16,359,53,43,320
15061259,28,16,359,48,40,314
15061260,54,44,117,57,46,323
15061261,54,44,117,52,45,305
15061262,54,44,117,88,10,96
15061263,54,44,117,92,6,71
15061264,54,44,117,92,6,71
15061265,54,44,117,52,45,305
15061270,54,44,117,54,49,320
15061273,54,44,117,41,58,318
15061274,54,44,117,43,58,312
15061277,54,44,117,54,49,320
15061279,54,44,117,54,49,320
15061281,54,44,117,41,60,332
15061282,54,44,117,43,58,322
15061283,54,44,117,31,33,324
15061286,54,44,117,36,39,321
15061289,54,44,117,45,57,327
15061290,54,44,117,54,49,320
15061291,54,44,117,49,57,317
15061293,28,16,359,53,43,320
15061295,36,19,28,54,49,320
15061296,28,16,359,54,49,320
15061297,54,44,117,43,58,312
15061298,54,44,117,61,43,319
15061300,54,44,117,43,58,322
15061301,54,44,117,43,58,322
15061302,54,44,117,31,33,324
