Prefijo,CHL_Components,Modelos,Fenotipos,Heritability
PCSprout,C,RKHS,PCSprout.C,0.513116071383163
PCSprout,C,RKHS,PCSprout.C,0.473348740500992
PCSprout,C,RKHS,PCSprout.C,0.559293654849745
PCSprout,C,RKHS,PCSprout.C,0.702825219026014
PCSprout,C,RKHS,PCSprout.C,0.539384367750793
PCSprout,C,RKHS,PCSprout.C,0.586175462643936
PCSprout,C,RKHS,PCSprout.C,0.618433520995813
PCSprout,C,RKHS,PCSprout.C,0.604757705040706
PCSprout,C,RKHS,PCSprout.C,0.632836552908958
PCSprout,C,RKHS,PCSprout.C,0.611618307749181
PCSprout,C,RKHS,PCSprout.C,0.61765669914172
PCSprout,C,RKHS,PCSprout.C,0.590832968213751
PCSprout,C,RKHS,PCSprout.C,0.552576949179608
PCSprout,C,RKHS,PCSprout.C,0.582224677258898
PCSprout,C,RKHS,PCSprout.C,0.590952390668653
PCSprout,C,RKHS,PCSprout.C,0.550030839095024
PCSprout,C,RKHS,PCSprout.C,0.512663936766891
PCSprout,C,RKHS,PCSprout.C,0.488143575658917
PCSprout,C,RKHS,PCSprout.C,0.514097038026828
PCSprout,C,RKHS,PCSprout.C,0.485971173631654
PCSprout,C,RKHS,PCSprout.C,0.542619132789885
PCSprout,C,RKHS,PCSprout.C,0.551669936713259
PCSprout,C,RKHS,PCSprout.C,0.450356296213796
PCSprout,C,RKHS,PCSprout.C,0.499010960024587
PCSprout,C,RKHS,PCSprout.C,0.475752555260952
PCSprout,C,RKHS,PCSprout.C,0.624461566099869
PCSprout,C,RKHS,PCSprout.C,0.604583248549862
PCSprout,C,RKHS,PCSprout.C,0.53862897419441
PCSprout,C,RKHS,PCSprout.C,0.658675026708261
PCSprout,C,RKHS,PCSprout.C,0.524883259482005
PCSprout,C,RKHS,PCSprout.C,0.568100584382783
PCSprout,C,RKHS,PCSprout.C,0.507597160986928
PCSprout,C,RKHS,PCSprout.C,0.590146802271302
PCSprout,C,RKHS,PCSprout.C,0.530083029505957
PCSprout,C,RKHS,PCSprout.C,0.551251160427168
PCSprout,C,RKHS,PCSprout.C,0.540472638551944
PCSprout,C,RKHS,PCSprout.C,0.479861088086815
PCSprout,C,RKHS,PCSprout.C,0.529391904798196
PCSprout,C,RKHS,PCSprout.C,0.486887393147713
PCSprout,C,RKHS,PCSprout.C,0.497668667372399
PCSprout,C,RKHS,PCSprout.C,0.470397409261161
PCSprout,C,RKHS,PCSprout.C,0.532037571588911
PCSprout,C,RKHS,PCSprout.C,0.514780246710153
PCSprout,C,RKHS,PCSprout.C,0.481480771871338
PCSprout,C,RKHS,PCSprout.C,0.55867289325033
PCSprout,C,RKHS,PCSprout.C,0.52604670405569
PCSprout,C,RKHS,PCSprout.C,0.544333628062056
PCSprout,C,RKHS,PCSprout.C,0.470280800330149
PCSprout,C,RKHS,PCSprout.C,0.539857354193713
PCSprout,C,RKHS,PCSprout.C,0.568256390902305
PCSprout,C,RKHS,PCSprout.C,0.472556623710607
PCSprout,C,RKHS,PCSprout.C,0.479360435419641
PCSprout,C,RKHS,PCSprout.C,0.55615594515451
PCSprout,C,RKHS,PCSprout.C,0.583710763624102
PCSprout,C,RKHS,PCSprout.C,0.492743113099172
PCSprout,C,RKHS,PCSprout.C,0.40216335032667
PCSprout,C,RKHS,PCSprout.C,0.560754463382873
PCSprout,C,RKHS,PCSprout.C,0.591532358491367
PCSprout,C,RKHS,PCSprout.C,0.630026361741664
PCSprout,C,RKHS,PCSprout.C,0.566459402186036
PCSprout,C,RKHS,PCSprout.C,0.511059525643488
PCSprout,C,RKHS,PCSprout.C,0.473674962288532
PCSprout,C,RKHS,PCSprout.C,0.486597842670815
